Experiment run
dataset: cora
num_mp_layers: 3
mp_hidden_dim: 4000
optimizer_lr: 0.001
loss_func: CrossEntropyLoss
total_epoch: 500
energy_lambda: 0
Epoch: 05, Loss: 0.8232, Energy: 1762207.1250, Train: 16.23%, Valid: 16.20%, Test: 14.80%, Best Valid: 32.40%, Best Test: 33.30%
Epoch: 10, Loss: 0.2565, Energy: 1804117.7500, Train: 15.73%, Valid: 15.60%, Test: 14.20%, Best Valid: 32.40%, Best Test: 33.30%
Epoch: 15, Loss: 0.1129, Energy: 1814532.1250, Train: 14.82%, Valid: 11.60%, Test: 11.40%, Best Valid: 32.40%, Best Test: 33.30%
Epoch: 20, Loss: 0.0650, Energy: 1814774.8750, Train: 9.77%, Valid: 9.00%, Test: 9.20%, Best Valid: 32.40%, Best Test: 33.30%
Epoch: 25, Loss: 0.0404, Energy: 1810545.3750, Train: 18.29%, Valid: 15.60%, Test: 14.40%, Best Valid: 32.40%, Best Test: 33.30%
Epoch: 30, Loss: 0.0263, Energy: 1799703.3750, Train: 39.24%, Valid: 30.00%, Test: 31.70%, Best Valid: 32.40%, Best Test: 33.30%
Epoch: 35, Loss: 0.0175, Energy: 1795702.1250, Train: 64.32%, Valid: 53.60%, Test: 53.40%, Best Valid: 53.60%, Best Test: 53.40%
Epoch: 40, Loss: 0.0121, Energy: 1788450.1250, Train: 79.88%, Valid: 67.00%, Test: 65.30%, Best Valid: 67.00%, Best Test: 65.30%
Epoch: 45, Loss: 0.0086, Energy: 1782152.1250, Train: 87.25%, Valid: 74.60%, Test: 72.80%, Best Valid: 74.60%, Best Test: 72.80%
Epoch: 50, Loss: 0.0064, Energy: 1775744.8750, Train: 91.56%, Valid: 78.40%, Test: 75.40%, Best Valid: 78.40%, Best Test: 75.40%
Epoch: 55, Loss: 0.0050, Energy: 1767495.7500, Train: 94.45%, Valid: 81.20%, Test: 77.50%, Best Valid: 81.20%, Best Test: 77.50%
Epoch: 60, Loss: 0.0040, Energy: 1759482.6250, Train: 95.94%, Valid: 83.20%, Test: 78.70%, Best Valid: 83.20%, Best Test: 78.80%
Epoch: 65, Loss: 0.0034, Energy: 1753225.2500, Train: 97.68%, Valid: 84.40%, Test: 80.70%, Best Valid: 84.40%, Best Test: 80.70%
Epoch: 70, Loss: 0.0030, Energy: 1747941.5000, Train: 98.68%, Valid: 84.80%, Test: 81.60%, Best Valid: 84.80%, Best Test: 81.60%
Epoch: 75, Loss: 0.0027, Energy: 1743398.0000, Train: 99.25%, Valid: 85.00%, Test: 82.00%, Best Valid: 85.00%, Best Test: 82.10%
Epoch: 80, Loss: 0.0025, Energy: 1738904.3750, Train: 99.67%, Valid: 85.40%, Test: 82.40%, Best Valid: 85.60%, Best Test: 82.40%
Epoch: 85, Loss: 0.0024, Energy: 1735132.3750, Train: 99.83%, Valid: 85.40%, Test: 82.40%, Best Valid: 85.60%, Best Test: 82.40%
Epoch: 90, Loss: 0.0022, Energy: 1731643.7500, Train: 99.92%, Valid: 85.20%, Test: 82.50%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 95, Loss: 0.0021, Energy: 1728439.5000, Train: 99.92%, Valid: 84.80%, Test: 82.20%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 100, Loss: 0.0020, Energy: 1725825.2500, Train: 99.92%, Valid: 85.00%, Test: 82.40%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 105, Loss: 0.0020, Energy: 1723532.2500, Train: 99.92%, Valid: 85.40%, Test: 82.20%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 110, Loss: 0.0019, Energy: 1721474.7500, Train: 99.92%, Valid: 85.40%, Test: 82.20%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 115, Loss: 0.0018, Energy: 1719569.0000, Train: 99.92%, Valid: 85.40%, Test: 82.20%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 120, Loss: 0.0018, Energy: 1717682.1250, Train: 99.92%, Valid: 85.40%, Test: 82.10%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 125, Loss: 0.0018, Energy: 1715895.8750, Train: 99.92%, Valid: 85.40%, Test: 82.10%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 130, Loss: 0.0017, Energy: 1714231.3750, Train: 99.92%, Valid: 85.40%, Test: 82.10%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 135, Loss: 0.0017, Energy: 1712669.8750, Train: 99.92%, Valid: 85.40%, Test: 82.20%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 140, Loss: 0.0017, Energy: 1711203.7500, Train: 99.92%, Valid: 85.40%, Test: 82.30%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 145, Loss: 0.0016, Energy: 1709785.3750, Train: 99.92%, Valid: 85.40%, Test: 82.30%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 150, Loss: 0.0016, Energy: 1708400.1250, Train: 99.92%, Valid: 85.40%, Test: 82.30%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 155, Loss: 0.0016, Energy: 1707046.5000, Train: 99.92%, Valid: 85.40%, Test: 82.30%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 160, Loss: 0.0015, Energy: 1705716.7500, Train: 99.92%, Valid: 85.40%, Test: 82.30%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 165, Loss: 0.0015, Energy: 1704429.8750, Train: 99.92%, Valid: 85.60%, Test: 82.20%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 170, Loss: 0.0015, Energy: 1703194.6250, Train: 99.92%, Valid: 85.60%, Test: 82.10%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 175, Loss: 0.0015, Energy: 1702011.2500, Train: 99.92%, Valid: 85.60%, Test: 82.10%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 180, Loss: 0.0015, Energy: 1700884.7500, Train: 99.92%, Valid: 85.60%, Test: 82.10%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 185, Loss: 0.0015, Energy: 1699811.0000, Train: 100.00%, Valid: 85.60%, Test: 82.10%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 190, Loss: 0.0014, Energy: 1698781.8750, Train: 100.00%, Valid: 85.60%, Test: 82.10%, Best Valid: 85.60%, Best Test: 82.50%
Epoch: 195, Loss: 0.0014, Energy: 1697782.8750, Train: 100.00%, Valid: 85.60%, Test: 82.10%, Best Valid: 85.60%, Best Test: 82.50%
